eco_region,island,island_lng,island_lat,site_name,site_type,lng,lat,date,depth,HC,SC,RKC,NIA,SP,RC,RB,SD,SI,OT,BF,SL,SN,BC,HW,BP,PF,ME,GR,BCS,DU,PU,CU,SCU,COT,TR,LO,GC,CDBA,CDD,CDO,TFN,TG,BNP,BNC,BB,WB,SH,TU,SR,Other
Straits of Malacca,Sembilan,100.543264,4.015531,P. Buluh,,100.5357,3.9945,2020/2/4,5.9,0.225,0,0,0.0313,0.0625,0.3063,0.05,0.2813,0,0.0438,2.75,0,0.25,0,0,0,0.25,0,5.75,0,100.25,0,0,0,0,0,0,0,0,0,1,1.75,1.75,0,0,0,0,0,0,0,0
Straits of Malacca,Sembilan,100.543264,4.015531,"Pasir Tengkorak, P. Lalang",,100.5467,4.0027,2020/2/4,5.2,0.2625,0.0063,0,0.0063,0.05,0.1125,0.1875,0.375,0,0,1.5,0,0.75,0,0,0,10.25,0,4.25,0,52.75,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0
Straits of Malacca,Sembilan,100.543264,4.015531,"Site 2, P. Lalang",,100.549083,4.00165,2020/2/4,4.8,0.3313,0,0,0.0063,0.0688,0.3563,0.1375,0.1,0,0,5,1.5,0.5,0,0,0,1,0.25,11,0,241.25,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
Straits of Malacca,Sembilan,100.543264,4.015531,"Anemone Garden, P. Saji",,100.5348,4.006497,2020/2/4,4.3,0.1375,0,0,0,0.0625,0.35,0.0375,0.2188,0,0.1938,4,0,0,0,0,0,0,0,5,0,202.5,0,0,0,0,0,0,0,0,0,0,1.25,0.5,0,0,0,0,0,0,0,1
Straits of Malacca,Sembilan,100.543264,4.015531,"Rock Garden, P. Saji North",,100.5351,4.0114,2020/2/4,5,0.525,0.0063,0,0,0.075,0.3188,0.0125,0.0563,0,0.0063,4,0,0,0,0,0,0,0,7.5,0,322.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Straits of Malacca,Sembilan,100.543264,4.015531,"Frogfish, P. Nipis",,100.5397,4.057497,2020/2/5,5.2,0.375,0.0125,0,0,0.0563,0.4875,0.025,0.0375,0,0.0063,11.5,0,0,0,0,0,1.5,0,5.25,0,244.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Straits of Malacca,Pangkor,100.5483,4.1899,Pangkor Laut,,100.5483,4.1899,2020/2/5,3.4,0.6063,0,0,0,0.025,0.1063,0.2313,0.0063,0.0188,0.0063,8.25,0,0,0,0,0,0,0,3.75,0,21.75,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
Straits of Malacca,Sembilan,100.543264,4.015531,"Site 2, P. Rumbia",,100.5479,4.0224,2020/2/5,4.4,0.2438,0,0,0.0375,0.0813,0.35,0.2438,0.0438,0,0,9.5,0,3.25,0,0,0,0.5,0,7.75,0,178,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,1
Straits of Malacca,Sembilan,100.543264,4.015531,"Zoanthid Garden, P. Rumbia",,100.55,4.0321,2020/2/5,4.8,0.1,0.2375,0,0,0,0.1063,0.2313,0.325,0,0,1.75,0,0,0,0,0,0,0,1.5,0,34,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0
Straits of Malacca,Sembilan,100.543264,4.015531,"Site 1, P. Saga",,100.5449,4.0122,2020/2/5,5,0.0813,0.0063,0,0.05,0.0625,0.1813,0.1625,0.45,0,0.0063,2.25,0,2,0,0,0,1.75,0,3.25,0,95,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
North Borneo,Mabul,118.630975,4.246038,Ribbon Valley,,118.639251,4.234103,2020/2/12,8,0.1063,0.0188,0.0063,0.0063,0.0125,0.3938,0.325,0.1063,0,0.025,6.5,0,0.25,0,0,0,1.75,1.75,0.25,0,129.5,0,0,0,0,0,0,1,0,0,2,0,0.5,0,0,0,0,0,1,0,0
North Borneo,Mantanani,116.348289,6.713443,Police Gate,,116.338554,6.712168,2020/2/15,9,0.4875,0,0.025,0.025,0.0063,0.1875,0.2,0.0688,0,0,1,0,0.25,0,0,0,0.75,0,0,0,22.25,0,0,0,1,0,0,1,0,0,1,0.25,0.5,0,13,0,0,0,0,0,0
